Minute,Hour,NO2,O3,Region,Location
2023-07-19 08:35:00,8AM,0.03,1.96,Tangerang,Panunggangan Utara
2023-07-19 08:40:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-19 08:45:00,8AM,0.03,9.26,Tangerang,Panunggangan Utara
2023-07-19 08:50:00,8AM,,,Tangerang,Panunggangan Utara
2023-07-19 08:55:00,8AM,0.0,11.11,Tangerang,Panunggangan Utara
2023-07-19 09:00:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-19 09:05:00,9AM,0.0,25.08,Tangerang,Panunggangan Utara
2023-07-19 09:10:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-19 09:15:00,9AM,0.0,45.89,Tangerang,Panunggangan Utara
2023-07-19 09:20:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-19 09:25:00,9AM,0.0,54.11,Tangerang,Panunggangan Utara
2023-07-19 09:30:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-19 09:35:00,9AM,0.0,80.84,Tangerang,Panunggangan Utara
2023-07-19 09:40:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-19 09:45:00,9AM,0.0,106.34,Tangerang,Panunggangan Utara
2023-07-19 09:50:00,9AM,,,Tangerang,Panunggangan Utara
2023-07-19 09:55:00,9AM,0.0,117.28,Tangerang,Panunggangan Utara
2023-07-19 10:00:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-19 10:05:00,10AM,0.0,140.87,Tangerang,Panunggangan Utara
2023-07-19 10:10:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-19 10:15:00,10AM,0.22,157.44,Tangerang,Panunggangan Utara
2023-07-19 10:20:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-19 10:25:00,10AM,0.27,163.87,Tangerang,Panunggangan Utara
2023-07-19 10:30:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-19 10:35:00,10AM,0.24,172.43,Tangerang,Panunggangan Utara
2023-07-19 10:40:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-19 10:45:00,10AM,0.22,174.06,Tangerang,Panunggangan Utara
2023-07-19 10:50:00,10AM,,,Tangerang,Panunggangan Utara
2023-07-19 10:55:00,10AM,0.27,175.39,Tangerang,Panunggangan Utara
2023-07-19 11:00:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-19 11:05:00,11AM,0.24,176.36,Tangerang,Panunggangan Utara
2023-07-19 11:10:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-19 11:15:00,11AM,0.0,178.74,Tangerang,Panunggangan Utara
2023-07-19 11:20:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-19 11:25:00,11AM,0.0,179.46,Tangerang,Panunggangan Utara
2023-07-19 11:30:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-19 11:35:00,11AM,0.0,184.42,Tangerang,Panunggangan Utara
2023-07-19 11:40:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-19 11:45:00,11AM,0.0,193.3,Tangerang,Panunggangan Utara
2023-07-19 11:50:00,11AM,,,Tangerang,Panunggangan Utara
2023-07-19 11:55:00,11AM,0.0,194.97,Tangerang,Panunggangan Utara
2023-07-19 12:00:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-19 12:05:00,12PM,0.0,201.99,Tangerang,Panunggangan Utara
2023-07-19 12:10:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-19 12:15:00,12PM,0.0,199.84,Tangerang,Panunggangan Utara
2023-07-19 12:20:00,12PM,,,Tangerang,Panunggangan Utara
2023-07-19 12:25:00,12PM,0.0,201.07,Tangerang,Panunggangan Utara
